milestoneID;event_english;event_swedish
M01;Ban on DDT in Sweden.;Förbud mot DDT i Sverige.
M02;Only six sea eagle chicks found this year along the entire Swedish east coast.;Endast sex havsörnsungar hittades längs hela den svenska östkusten.
M03;Grey seal population at lowest level with 3600 individuals.;Stammen av gråsäl nådde en bottennivå på endast 3600 djur.
M04;Ban on PCB in Sweden.;Förbud mot PCB i Sverige.
M05;Moratorium on nuisance wildlife management hunting of grey seals.;Förbud mot skyddsjakt för gråsäl.
M06;Otter population estimated at 500 individuals.;Populationen av uttrar uppskattas till 500 djur.
M07;Up to 72% of sea eagle pairs with nesting success in Sweden.;Lyckad häckning av havsörnspar på 72% i Sverige.
M08;Grey seal population estimated at 7600 individuals in Östersjön.;Populationen av gråsälar i Östersjön uppskattas till 7600 djur.
M09;Nuisance wildlife management hunting of grey seals reinstated.;Skyddsjakt för gråsäl återinförs.
M10;Stockholm Convention on Persistent Organic Pollutants taken into force.;Stockholmskonventionen om långlivade organiska föroreningar träder i kraft.
M11;Helsinki Convention (HELCOM) Baltic Sea Action Plan.;Helsinki Convention (HELCOM) Baltic Sea Action Plan.
M12;Otter population estimated at 2200 individuals.;Populationen av uttrar uppskattas till 2200 djur.
